WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x314a21d10> >
DONE
TINYSTORIES DATASET LOADED...
Iteration 153, Loss: 6.033055782318115
Iteration 154, Loss: 5.910594940185547
Iteration 155, Loss: 6.597676753997803
Iteration 156, Loss: 6.093145370483398
Iteration 157, Loss: 6.3996663093566895
Iteration 158, Loss: 6.609546184539795
Iteration 159, Loss: 6.325854301452637
Iteration 160, Loss: 6.148467063903809
Iteration 161, Loss: 6.404740333557129
Iteration 162, Loss: 5.993607044219971
Iteration 163, Loss: 6.237447261810303
Iteration 164, Loss: 6.0143327713012695
Iteration 165, Loss: 6.105628490447998
Iteration 166, Loss: 6.512749195098877
Iteration 167, Loss: 6.06873893737793
Iteration 168, Loss: 6.593183517456055
Iteration 169, Loss: 6.215306282043457
Iteration 170, Loss: 6.327001571655273
Iteration 171, Loss: 6.156404495239258
Iteration 172, Loss: 6.037930488586426
Iteration 173, Loss: 6.0342020988464355
Iteration 174, Loss: 6.06575345993042
Iteration 175, Loss: 5.930081844329834
Iteration 176, Loss: 6.11608362197876
Iteration 177, Loss: 6.33633279800415
Iteration 178, Loss: 6.098940372467041
Iteration 179, Loss: 6.1400041580200195
Iteration 180, Loss: 6.402985095977783
Iteration 181, Loss: 6.408734321594238
Iteration 182, Loss: 6.181832313537598
Iteration 183, Loss: 5.955436706542969
Iteration 184, Loss: 6.125701904296875
Iteration 185, Loss: 5.920073509216309
Iteration 186, Loss: 6.309818267822266
Iteration 187, Loss: 5.954965114593506
Iteration 188, Loss: 6.128608703613281
Iteration 189, Loss: 6.040203094482422
Iteration 190, Loss: 6.229456424713135
Iteration 191, Loss: 6.267631530761719
Iteration 192, Loss: 6.183145523071289
Iteration 193, Loss: 6.106799125671387
Iteration 194, Loss: 6.534770965576172
Iteration 195, Loss: 6.280176639556885
Iteration 196, Loss: 6.079267501831055
Iteration 197, Loss: 6.4723405838012695
Iteration 198, Loss: 6.120705604553223
Iteration 199, Loss: 6.288806915283203
Iteration 200, Loss: 6.266788005828857
Iteration 201, Loss: 6.115128517150879
Iteration 202, Loss: 6.27131462097168
Iteration 203, Loss: 6.183785438537598
Iteration 204, Loss: 6.046350002288818
Iteration 205, Loss: 5.815846920013428
Iteration 206, Loss: 5.74745512008667
Iteration 207, Loss: 6.0436930656433105
Iteration 208, Loss: 5.945277214050293
Iteration 209, Loss: 6.44534969329834
Iteration 210, Loss: 6.299566745758057
Iteration 211, Loss: 6.028639793395996
Iteration 212, Loss: 6.190311908721924
Iteration 213, Loss: 6.247793197631836
Iteration 214, Loss: 5.9179606437683105
Iteration 215, Loss: 6.490771770477295
Iteration 216, Loss: 6.497461795806885
Iteration 217, Loss: 6.28374719619751
Iteration 218, Loss: 6.064359188079834
Iteration 219, Loss: 6.197291851043701
Iteration 220, Loss: 6.337735176086426
Iteration 221, Loss: 6.282955646514893
Iteration 222, Loss: 6.131104469299316
Iteration 223, Loss: 6.199514865875244
Iteration 224, Loss: 6.313613414764404
Iteration 225, Loss: 6.210956573486328
Iteration 226, Loss: 5.8951921463012695
Iteration 227, Loss: 6.1641621589660645
Iteration 228, Loss: 6.0042033195495605
Iteration 229, Loss: 6.216242790222168
Iteration 230, Loss: 6.108043670654297
Iteration 231, Loss: 5.980588912963867
Iteration 232, Loss: 6.323397636413574
Iteration 233, Loss: 5.668075084686279
Iteration 234, Loss: 6.238656044006348
Iteration 235, Loss: 5.994364261627197
Iteration 236, Loss: 6.186397552490234
Iteration 237, Loss: 6.259256839752197
Iteration 238, Loss: 5.982494354248047
Iteration 239, Loss: 6.669949531555176
Iteration 240, Loss: 6.138850688934326
Iteration 241, Loss: 6.225983142852783
Iteration 242, Loss: 6.090635299682617
Iteration 243, Loss: 6.333949089050293
Iteration 244, Loss: 6.461917400360107
Iteration 245, Loss: 6.203599452972412
Iteration 246, Loss: 6.060937881469727
Iteration 247, Loss: 6.245986461639404
Iteration 248, Loss: 6.177567481994629
Iteration 249, Loss: 6.1547017097473145
Iteration 250, Loss: 6.128841876983643
Iteration 251, Loss: 6.591836929321289
Iteration 252, Loss: 5.682249546051025
Iteration 253, Loss: 6.116150856018066
Iteration 254, Loss: 5.877111434936523
Iteration 255, Loss: 6.4342522621154785
Iteration 256, Loss: 6.082238674163818
Iteration 257, Loss: 6.010529518127441
Iteration 258, Loss: 6.368670463562012
Iteration 259, Loss: 6.484059810638428
Iteration 260, Loss: 5.938627243041992
Iteration 261, Loss: 6.4589715003967285
Iteration 262, Loss: 6.114208221435547
Iteration 263, Loss: 6.400847434997559
Iteration 264, Loss: 6.122282028198242
Iteration 265, Loss: 6.066312789916992
Iteration 266, Loss: 6.175039768218994
Iteration 267, Loss: 6.28921365737915
Iteration 268, Loss: 6.245486736297607
Iteration 269, Loss: 6.23817777633667
Iteration 270, Loss: 6.105167865753174
Iteration 271, Loss: 6.481773853302002
Iteration 272, Loss: 6.23441219329834
Iteration 273, Loss: 6.219079494476318
Iteration 274, Loss: 6.096346855163574
Iteration 275, Loss: 5.958162784576416
Iteration 276, Loss: 6.42336893081665
Iteration 277, Loss: 6.264946937561035
Iteration 278, Loss: 6.259792327880859
Iteration 279, Loss: 5.877352714538574
Iteration 280, Loss: 6.112249851226807
Iteration 281, Loss: 6.249700546264648
Iteration 282, Loss: 6.22442102432251
Iteration 283, Loss: 5.566356658935547
Iteration 284, Loss: 6.122558116912842
Iteration 285, Loss: 6.425444602966309
Iteration 286, Loss: 6.504940986633301
Iteration 287, Loss: 6.088483810424805
Iteration 288, Loss: 6.233150959014893
Iteration 289, Loss: 5.693657875061035
Iteration 290, Loss: 6.070255756378174
Iteration 291, Loss: 6.424851894378662
Iteration 292, Loss: 5.753324508666992
Iteration 293, Loss: 7.357381820678711
Iteration 294, Loss: 6.206659317016602
Iteration 295, Loss: 6.221660137176514
Iteration 296, Loss: 5.867186546325684
Iteration 297, Loss: 6.402047157287598
Iteration 298, Loss: 5.948571681976318
Iteration 299, Loss: 6.00120210647583
Iteration 300, Loss: 6.3282856941223145
Iteration 301, Loss: 6.365854740142822
Iteration 302, Loss: 6.14823579788208
Iteration 303, Loss: 5.776682376861572
Iteration 304, Loss: 5.9070258140563965
Iteration 305, Loss: 6.008917331695557
Iteration 306, Loss: 6.0547356605529785
Iteration 307, Loss: 6.075223922729492
Iteration 308, Loss: 5.933683395385742
Iteration 309, Loss: 6.076857566833496
Iteration 310, Loss: 6.248769283294678
Iteration 311, Loss: 6.13956356048584
Iteration 312, Loss: 6.147710800170898
