WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x30abfdce0> >
DONE
TINYSTORIES DATASET LOADED...
Iteration 153, Loss: 6.526973247528076
Iteration 154, Loss: 5.943196773529053
Iteration 155, Loss: 5.954408168792725
Iteration 156, Loss: 6.218256950378418
Iteration 157, Loss: 6.234997749328613
Iteration 158, Loss: 6.399682521820068
Iteration 159, Loss: 6.166348457336426
Iteration 160, Loss: 6.202678680419922
Iteration 161, Loss: 6.199007511138916
Iteration 162, Loss: 6.540605545043945
Iteration 163, Loss: 6.086108684539795
Iteration 164, Loss: 6.412302017211914
Iteration 165, Loss: 5.763808727264404
Iteration 166, Loss: 5.814939498901367
Iteration 167, Loss: 6.534124851226807
Iteration 168, Loss: 5.956501483917236
Iteration 169, Loss: 6.043394088745117
Iteration 170, Loss: 6.016435623168945
Iteration 171, Loss: 6.0745649337768555
Iteration 172, Loss: 6.212652683258057
Iteration 173, Loss: 6.134127616882324
Iteration 174, Loss: 5.644692420959473
Iteration 175, Loss: 6.509462356567383
Iteration 176, Loss: 6.272835731506348
Iteration 177, Loss: 6.166812896728516
Iteration 178, Loss: 6.337038993835449
Iteration 179, Loss: 6.1766791343688965
Iteration 180, Loss: 6.5027594566345215
Iteration 181, Loss: 6.194243431091309
Iteration 182, Loss: 6.295856475830078
Iteration 183, Loss: 6.46193790435791
Iteration 184, Loss: 5.998646259307861
Iteration 185, Loss: 5.897899150848389
Iteration 186, Loss: 5.855730056762695
Iteration 187, Loss: 5.949101448059082
Iteration 188, Loss: 6.2870402336120605
Iteration 189, Loss: 6.008251190185547
Iteration 190, Loss: 6.661530017852783
Iteration 191, Loss: 6.429018497467041
Iteration 192, Loss: 6.261890888214111
Iteration 193, Loss: 6.492578506469727
Iteration 194, Loss: 6.220800876617432
Iteration 195, Loss: 6.1134538650512695
Iteration 196, Loss: 5.975403308868408
Iteration 197, Loss: 5.853363513946533
Iteration 198, Loss: 6.035585403442383
Iteration 199, Loss: 5.985121250152588
Iteration 200, Loss: 6.195940017700195
Iteration 201, Loss: 6.208254814147949
Iteration 202, Loss: 6.130694389343262
Iteration 203, Loss: 6.203786373138428
Iteration 204, Loss: 6.060946941375732
Iteration 205, Loss: 5.985940933227539
Iteration 206, Loss: 6.194424152374268
Iteration 207, Loss: 6.693978786468506
Iteration 208, Loss: 6.424214839935303
Iteration 209, Loss: 6.04313325881958
Iteration 210, Loss: 5.8351216316223145
Iteration 211, Loss: 6.354302406311035
Iteration 212, Loss: 5.7540435791015625
Iteration 213, Loss: 6.213714122772217
Iteration 214, Loss: 6.414388179779053
Iteration 215, Loss: 5.774180889129639
Iteration 216, Loss: 6.08446741104126
Iteration 217, Loss: 6.182882785797119
Iteration 218, Loss: 6.2236151695251465
Iteration 219, Loss: 6.670080184936523
Iteration 220, Loss: 6.2928147315979
Iteration 221, Loss: 6.166815280914307
Iteration 222, Loss: 5.807448387145996
Iteration 223, Loss: 6.071826457977295
Iteration 224, Loss: 6.0034613609313965
Iteration 225, Loss: 5.713552474975586
Iteration 226, Loss: 6.293462753295898
Iteration 227, Loss: 6.434270858764648
Iteration 228, Loss: 6.022848129272461
Iteration 229, Loss: 5.724960803985596
Iteration 230, Loss: 6.151040554046631
Iteration 231, Loss: 6.132198333740234
Iteration 232, Loss: 6.157158851623535
Iteration 233, Loss: 6.351093292236328
Iteration 234, Loss: 6.216899394989014
Iteration 235, Loss: 6.208715915679932
Iteration 236, Loss: 6.292194366455078
Iteration 237, Loss: 6.478699207305908
Iteration 238, Loss: 5.781005859375
Iteration 239, Loss: 6.389311790466309
Iteration 240, Loss: 6.331610679626465
Iteration 241, Loss: 6.754651069641113
Iteration 242, Loss: 6.394482135772705
Iteration 243, Loss: 6.484835147857666
Iteration 244, Loss: 6.651998519897461
Iteration 245, Loss: 6.251186847686768
Iteration 246, Loss: 6.277730941772461
Iteration 247, Loss: 6.009230613708496
Iteration 248, Loss: 5.89225435256958
Iteration 249, Loss: 6.34429407119751
Iteration 250, Loss: 6.4049882888793945
Iteration 251, Loss: 6.4477081298828125
Iteration 252, Loss: 5.933297157287598
Iteration 253, Loss: 5.954697608947754
Iteration 254, Loss: 6.558128356933594
Iteration 255, Loss: 6.26054048538208
Iteration 256, Loss: 5.832083225250244
Iteration 257, Loss: 6.363771438598633
Iteration 258, Loss: 6.263576507568359
Iteration 259, Loss: 6.011962890625
Iteration 260, Loss: 5.603936672210693
Iteration 261, Loss: 6.547624111175537
Iteration 262, Loss: 6.335541725158691
Iteration 263, Loss: 6.094650745391846
Iteration 264, Loss: 6.525576114654541
